texts,category,process_time
Last session of the day  http://twitpic.com/67ezh,1,2.326889753341675
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,0,1.098649024963379
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",2,0.8094387054443359
 happy bday!,0,1.0833771228790283
 http://twitpic.com/4w75p - I like it!!,0,0.8313395977020264
 that`s great!! weee!! visitors!,0,0.865894079208374
I THINK EVERYONE HATES ME ON HERE   lol,2,0.8526310920715332
" soooooo wish i could, but im in school and myspace is completely blocked",2,1.0377602577209473
 and within a short time of the last clue all of them,1,0.9394209384918213
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,1,1.01580810546875
My bike was put on hold...should have known that.... argh total bummer,2,0.9810190200805664
 I checked.  We didn`t win,2,0.8859150409698486
 .. and you`re on twitter! Did the tavern bore you that much?,2,0.9355897903442383
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",0,0.928739070892334
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,2,0.9575414657592773
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",2,0.8726143836975098
 Miss you,0,0.9422650337219238
Cramps . . .,2,0.8069374561309814
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,2,0.949005126953125
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",2,1.0815792083740234
Stupid storm. No river for us tonight,2,1.0660240650177002
My dead grandpa pays more attention to me than you do,2,0.9415595531463623
"... need retail therapy, bad. AHHH.....gimme money geebus",2,0.9510722160339355
about to go to sleep,1,0.9261593818664551
 you are lame  go make me breakfast!!,2,0.934412956237793
 thats so cool,0,0.9346358776092529
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",1,0.927271842956543
"Huh, another ScarePoint coding Sunday",2,0.9420037269592285
 look who I found just for you  --->  http://twitter.com/DJT2009,0,0.9323163032531738
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",2,0.7924315929412842
 guess that depends on if you want to be on the jury,1,0.7750084400177002
resorted to eating Mickey Ds ALONE.,2,0.7646591663360596
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",2,0.8493077754974365
 did he ask for your Twitter ID? Your sun sign?,1,0.9992947578430176
 where`d you go!,2,0.8259165287017822
Watching Body of Lies...good film,0,0.9597821235656738
Happy mothers day mumm  xoxo,0,0.9463710784912109
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,0,0.8078584671020508
 I`m sorry  at least it`s Friday?,1,0.8364436626434326
"feels sorry every time I`m printing out, I use like 200 new papers",2,0.950441837310791
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,2,0.913245677947998
 I always forget SOMETHING when I travel. I am at Newark airport.,1,1.1657578945159912
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,2,0.8122601509094238
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,1,0.7896125316619873
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",0,0.9211735725402832
  Hope ur havin fun in da club,0,0.8006656169891357
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,2,0.8249688148498535
thinks SG is wonderful,0,0.8487722873687744
  im really sorry i know wallah how u feel this life is shittttttttt,2,0.8529708385467529
Not happy,2,0.9708807468414307
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,0,0.9276123046875
 I`ll oscillate from one to the other.,1,0.9432938098907471
