texts,category,process_time
เป็ดไง จะใครล่ะ งั้นรอทุกคนพร้อม 55555,0,3.8914198875427246
กาวผ้าอนามัยนี่ติดทุกอย่างยกเว้น กกน. บริษัทกาวควรขอคำแนะนำ,2,2.319744110107422
หรือหมูจุ่มดี,1,2.0823609828948975
#รู้ว่าสู้ไปก็มีผลแค่อยากแสดงตัวตนว่ามีเราอยู่ครับ',0,2.325796604156494
แม่เจ้าของงงเบียร์ช้างละ,1,2.051628351211548
มันหมดโปรวันที่ 29 อีควาย,1,2.034454345703125
ขับยาริสตัวเจยังเบ่งได้ขนาดนี้ 555,0,1.161278486251831
กลางคืนค่ะมันสบายดีเเละซึมซับได้ดีค่ะ ใส่ทั้งกลางวันเเละกลางคืน #รักเลยลอรีเอะ😍,0,2.1119565963745117
ทีเด็ดเลยฮะ Royal Stag ของใหม่ที่ไม่ธรรมดา ราคาก็ไม่แพง แค่ 265 บาทเท่านั้น!! เห็นตัวขวดว่าสวยดูหรูหราแล้ว ฝาเปิดยังเป็นลูกกลิ้งอีก ดูดีเข้าไปอีก แน่นอนว่าฝาลูกกลิ้งแบบนี้มีประโยชน์มากที่จะควบคุมการเทเหล้าของเราไม่ให้หกพรวดลงแก้วได้ในยามเมา 555+ เอาว่าปกติถ้ามาทรงนี้จะเห็นแต่เหล้าราคาแพง แต่นี่ไม่แพงอย่างที่คิดไปจับจองมาครอบครองกันเลย #royalstag #กลับไม่ดึก,0,2.3376269340515137
โฆษณาผ้าอนามัยป่ะ,1,1.0866222381591797
ตังค์ยังไม่ออกเด้ออ 5555,1,40.437119245529175
อินโดขนาดมีคู่แข่ง คือ โตโยต้า รุ่นสมอฟอจูนซีอาวีปาเจโล่ ผสมกัน ยังขายดีแฮะ,0,1.9893627166748047
นี่ยังไม่รู้เลยว่าโลตัสมีไหนบ้าง 🤔,1,1.9062418937683105
สมัครแล้วใช้ลดได้เลยไหมค่ะ,1,1.5754122734069824
"ปันรอยยิ้มเพื่อผู้ป่วยมะเร็ง"" #ปันรอยยิ้มเพื่อผู้ป่วยมะเร็ง #สานต่อที่พ่อให้ทำช่วยคนไทยพ้นภัยมะเร็ง #ศูนย์การแพทย์มะเร็งวิทยาจุฬาภรณ์ #โรงพยาบาลจุฬาภรณ์ ""โครงการสานต่อที่พ่อให้ทำช่วยคนไทยพ้นภัยมะเร็ง",0,2.2655646800994873
