texts,category,process_time
Last session of the day  http://twitpic.com/67ezh,1,2.010265827178955
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,0,0.8700876235961914
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",2,0.906973123550415
 happy bday!,0,1.0754024982452393
 http://twitpic.com/4w75p - I like it!!,0,0.8220441341400146
 that`s great!! weee!! visitors!,0,0.9704577922821045
I THINK EVERYONE HATES ME ON HERE   lol,2,1.0514202117919922
" soooooo wish i could, but im in school and myspace is completely blocked",2,0.851243257522583
 and within a short time of the last clue all of them,1,0.8207142353057861
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,1,0.9291551113128662
My bike was put on hold...should have known that.... argh total bummer,2,0.8421282768249512
 I checked.  We didn`t win,2,0.7640883922576904
 .. and you`re on twitter! Did the tavern bore you that much?,2,0.8104190826416016
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",0,0.8202850818634033
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,2,0.7800052165985107
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",2,0.934443473815918
 Miss you,0,0.8419661521911621
Cramps . . .,2,0.8114981651306152
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,1,0.8250160217285156
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",1,0.9795858860015869
Stupid storm. No river for us tonight,2,0.8096153736114502
My dead grandpa pays more attention to me than you do,2,0.8499741554260254
"... need retail therapy, bad. AHHH.....gimme money geebus",2,0.7579922676086426
about to go to sleep,1,0.9194786548614502
 you are lame  go make me breakfast!!,2,0.7994608879089355
 thats so cool,0,0.8533716201782227
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",1,1.051297903060913
"Huh, another ScarePoint coding Sunday",2,0.9094164371490479
 look who I found just for you  --->  http://twitter.com/DJT2009,0,0.9473936557769775
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",2,0.7966592311859131
 guess that depends on if you want to be on the jury,1,0.8811166286468506
resorted to eating Mickey Ds ALONE.,2,1.3211283683776855
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",1,1.2499513626098633
 did he ask for your Twitter ID? Your sun sign?,1,0.9206438064575195
 where`d you go!,2,1.04681396484375
Watching Body of Lies...good film,0,0.9515931606292725
Happy mothers day mumm  xoxo,0,0.9220833778381348
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,1,1.196864128112793
 I`m sorry  at least it`s Friday?,1,0.795574426651001
"feels sorry every time I`m printing out, I use like 200 new papers",2,1.0730922222137451
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,2,0.9189631938934326
 I always forget SOMETHING when I travel. I am at Newark airport.,1,0.9473612308502197
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,2,1.2254559993743896
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,1,1.1519432067871094
