texts,category,process_time
ซื้อแต่ผ้าอนามัยแบบเย็นมาค่ะ แบบว่าอีห่ากูนอนไม่ได้,    Sentiment: negative,0.9886436462402344
ครับ #phithanbkk,    Sentiment: neutral,0.9434559345245361
การด่าไปเหมือนได้บรรเทาความเครียดเฉยๆ แต่บีทีเอส (รถไฟฟ้า) มันสำนึกมั้ย ก็ไม่อ่ะ 😕,    Sentiment: negative,0.7330033779144287
Cf clarins 5 ขวด 2850,    Neutral,1.0035088062286377
ทานได้ค่ะ น้ำซุป MK ต้มมาจากหัวผักกาด ซีอิ้วขาว เกลือ แลน้ำตาลค่ะ,    Sentiment: neutral,0.8542454242706299
เคล็ดลับที่ขาดไม่ได้ในการป้องกันผิวจากแสงแดด คือการทาครีมกันแดด สาวๆบ้างคนอาจจะคิดว่ามันไม่ใช่เรื่องสำคัญเท่าไหร่ แต่บอกเลยว่า ผิดมาก เพราะแสงแดดสมัยนี้แรงมาก และมีอนุภาพการทำลายผิวสูงมาก ถ้าไม่อยากให้ผิวเราถูกทำร้ายแบบซ้ำๆซาก ควรทาครีมกันแดดที่ดีมีคุณภาพอย่าง Eucerin Sun Age Repair Serum ปัจจุบันครีมกันแดดมีมากมายให้เราเลือกซื้อก็จริง แต่ก็อย่าลืมเลือกสิ่งที่ดีที่สุดให้ตัวเราอย่าง Eucerin Sun Acne oil Control ค่ะ,    Sentiment: positive,0.9191040992736816
สำหรับสูตรของผม คือ Jack Daniel's หวานซ่อนเปรี้ยวชื่อ Jack Yellow Life ส่วนประกอบ Jack Daniel's 2 ชอท น้ำเก๊กฮวย น้ำมะนาว ใบมิ้นท์ เกลือเล็กน้อย วิธีปรุง นำ JackDaniel's มาเขย่ากับน้ำเก๊กฮวย เจือด้วยน้ำมะนาวบางๆ ตกแต่งด้วยใบมิ้น เสริฟด้วยแก้วที่ทาเกลือไว้ที่ปากแก้ว รสชาติที่จะได้คือหวาน หอม ซ่อนเปรี้ยว ด้วยคอนเซ็ปว่านี่แหละคือชีวิต จะหวานอย่างเดียวก็จะเลี่ยนไป จะเปรี้ยวเกินไปก็ไม่ใช่เรื่อง จึงควรจะมีทั้งเปรี้ยว ทั้งหวานคละเคล้ากันไปครับ,    Neutral,1.3132266998291016
เจ้ว่าการ์นิเย่แอบแรงนิสหน่อย เคยใช้โยเกิร์ตไม๊ พรุ้งนี้ลองพอกหน้าดูทำให้หน้าสบายขึ้น นุ่มขึ้น หายไวไวน๊าาาา,    Sentiment: positive,0.8808455467224121
เอๅจริงๆถ้ๅมันเปิดให้ใช้และถูกกฎหมๅยจริวคงกลัวจะเก็บภๅษียังไงรึป่ๅว,    Sentiment: question,0.98683762550354
อิผ้าอนามัยเหิ้ย ติดทุกอย่าง ยกเว้นกางเกงใน,    Sentiment: negative,0.9005844593048096
ไอเหี้ยพวกเหี้ยถ้าไม่ได้ภาษีแม่งจับหมดไอสัส นายกก้นิ่งไม่มองดูประชาชนเลย #นี่หรือประเทศไทย,    Sentiment: negative,0.6531469821929932
#SinghaPark #SinghaParkChiangRai #SocialEnterprise #สิงห์ปาร์คเชียงราย เทศกาลแห่งความสุข 💛 มาถ่ายรูปสวยๆ ที่สิงห์ปาร์ค เชียงราย กันเถอะ! credit ig --------------------------- ***Application 'Singhapark' app ที่จะช่วยเปิดประสบการณ์การท่องเที่ยวที่สิงห์ปาร์คเชียงรายให้สนุกมากขึ้น พร้อมให้ดาวน์โหลดแล้ววันนี้ คลิกเลย ----> ios : https://appsto.re/th/s-0gdb.i android : https://play.google.com/store/apps/details?id=com.singha.singhapark,    Sentiment: positive,0.9078302383422852
กินก่อนจ่ายทีหลังไง,    Sentiment: neutral,0.945040225982666
หมูกระทะ ชาบู บุฟเฟต์ ฮอตพอต นี้คือชื่อลูกน้องมุก,    Sentiment: neutral,0.6287717819213867
สำหรับงาน Transmisson : The Spirit of Warrior ต้องขวดนี้ค่ะ Jack Daniel's Tennessee Whiskey honey ป็นวิสกี้ที่โดดเด่นในเรื่องของความหอมหวานราวกับน้ำผึ้ง(เดือน5) เพราะนำเอา Honey Liqueur ถึง 4 ชนิดผสมเข้าไป ทำให้ได้รสเข้มข้นเหมือนกับดื่มน้ำผึ้งอยู่จริง ๆ แต่ไม่ได้หวานมากจนบาดคอนะคะ ผู้ชายก็ชอบผู้หญิงก็ต้องบอกว่าใช่!! แล้วเจอกันค่ะ <3,    Positive,0.6211278438568115
สินออโต้เซอร์วิส อู่เชฟโรเลต อะไหล่เชฟโรเลต อู่ซาฟีร่า อะไหล่ซาฟีร่า ติดออยเกียร์ Cruze 1.8 ราคาเท่าไหร่ครับ ใช้ระยะเวลานานแค่ไหนคับ,    Sentiment: question,0.8487708568572998
"ฉีด jomalone english pear มาค่ะ ป้าทักว่า ""กลิ่นเหมือนบุหรี่"" ร้องไห้...",    Sentiment: negative,0.8256649971008301
ตู้วหูวววว กะเพราเป็ดย่างงงง,    Positive,0.6158273220062256
ภาคเหนือไม่ค่อยมีสาขาเลย สองมาตรฐานมาก!! เพิ่มสาขาหน่อยสิครับ,    Sentiment: negative,0.6808171272277832
เมื่ออายุเพิ่มมากขึ้น ร่างกายก็เริ่มเสื่อมถอยตามไปด้วย สมองเองก็เช่นกัน และหากผู้สูงวัยมีอาการหลงลืม ความจำระยะสั้นไม่ดี พูดซ้ำ แก้ปัญหาไม่ได้ เสี่ยงโรคสมองเสื่อม ควรรีบเข้าพบแพทย์เพื่อเข้ารับการรักษาตั้งแต่แรกเริ่ม เพื่อดูแลตัวเองเสียตั้งแต่ตอนนี้นะคะ,    Sentiment: negative,0.5697908401489258
ตู้ยาอายุวัฒนะเคลื่อนที่ ของดีไทยเราที่อยากบอกต่อ มาไขความลับสุขภาพดีของบรรพชน ที่มีอายุยืนยาว สุขภาพดี ร่างกายแข็งแรง เพราะเหตุใดกันรือ...วันนี้เราในฐานะอนุชนรุ่นหลังจะอยู่อย่างไรให้สมวัย...สูงวัย อย่างมีคุณภาพ พร้อมแล้วเรามาไขเคล็ดลับ อุ่นใจ...ช่วยชะลอวัย ให้ ไกลโรค... ไม่ว่าจะเป็น -ตำรับยากุลกา ยาบำรุงของทุกเพศ ทุกวัย - ตำรับยาอายุวัฒนะ บำรุงร่างกาย บำรุงสตรีเลือดน้อย - ตำรับยาลูกแปลกแม่ ตำรับยาสาวสวยในตำนาน - สูตรยาดองน้ำผึ้ง ตำรับหลานท่านเจ้าพระยาอภัยภูเบศร #ตู้ยาอายุวัฒนะ #สมุนไพรอภัยภูเบศร,    Positive,1.1232216358184814
มึงนอกใจแสงโสมตั้งแต่เมื่อไหร่5555,    Sentiment: negative,0.5513293743133545
มีแอลกอฮอลมั้ยคะ,    question,0.8876569271087646
เครื่อง v6 กี่ ccครับ เพราะเห็นของที่toyota บ้านเรา เอาเข้ามา 3.5 v6 ยังปาไป ห้าล้านกว่าเลยครับ,    Sentiment: question,0.5876181125640869
Cf บรัช 4หลุม tarte : 1790,    neutral,0.5938112735748291
ฟอร์ด แนะนำเทคนิคขับออฟโรดแบบง่ายๆ,    Sentiment: neutral,0.926447868347168
มันบ่แซบ,    Sentiment: negative,0.6223251819610596
ในเว็บไซต์จะแจ้งสาขาที่ไม่ร่วมรายการค่ะ ^^,    Sentiment: neutral,0.5895051956176758
ฝ้ายจะไม่ทน กับคนนิสัยไม่ดี,    Sentiment: negative,0.7578017711639404
แท็กแม่มาดู,    neutral,0.9714159965515137
อ๊ะ ไปก็ไป,    Sentiment: neutral,0.7175617218017578
ไม่ๆ อยากินบาบีก้อนละอะ เห้อๆๆๆ,    Sentiment: negative,0.7931554317474365
เราใช้ซีวิค เวลาเช็คระยะทีนึงก็ตกประมาณ 4-5 พันเลยค่ะ ไม่รวมอะไหล่พิเศษต่างๆ เคยได้ยินว่าของโตโยต้าถูกกว่านี้ ฮือ,    Sentiment: negative,0.49205732345581055
เคยเก็บฝาเบียร์ช้างเพื่อแลกกับการเข้าชมคาราบาวตอนเด็กๆ,    Sentiment: neutral,0.6174623966217041
ก็เพิ่งรู้ว่ามีผ้าอนามัยแบบสอด😂,    Sentiment: neutral,0.8900737762451172
ทีเด็ดครับบอกเลย,    Sentiment: positive,0.8512992858886719
ต้องรออิอ้วน กลับมาา เศร้า,    Sentiment: negative,0.6145522594451904
มาชมเรวๆๆ,    Sentiment: neutral,0.6747338771820068
"ONYX & Kulov present Aquafest 2018 12-16 เมษายนนี้ เตรียมพร้อมกับเทศกาลแห่งปีบนถนน RCA กับ ONYX Aquafest 2018 และพบกับ Special guest DJs อย่าง Yellow Claw (13 เมษายน), Swanky Tunes (14 เมษายน), LNY TNZ (15 เมษายน) บัตรวันที่ 12 และ 16 ราคา 500 บาท/ เครื่องดื่ม 1 กระป๋อง บัตรวันที่ 13-14-15 ราคา 800 บาท/ เครื่องดื่ม 1 กระป๋อง Regular table ไม่รวมบัตรค่าเข้างาน (1โต๊ะขนาดสำหรับ 5 ท่าน) Regular table วันที่ 12 และ 16 General area 6,000 บาท Prime area 9,000 บาท Regular table วันที่ 13-14-15 General area 9,000 บาท Prime area 10,000 บาท บัตรและโต๊ะซื้อได้หน้างานค่ะ สอบถามข้อมูลเพิ่มเติม 08-1645-1166, www.onyxbangkok.com หรือ www.facebook.com/onyxbkk",    neutral,0.773827075958252
Mistine ก็ตลาดล่าง พรีเซนเตอร์ไม่รู้กี่คน ตัวท็อปทั้งนั้น คิดว่าดาราพวกนั้นใช้มิสทีนจริงๆหรือเปล่าล่ะ,    Sentiment: negative,0.5466504096984863
สิ้นเดือนเจอกัน,    neutral,0.9489667415618896
โดนผีสิงห์ .. ลุกมะไหวเบยยย #singha,    negative,0.9129748344421387
จะเกมส์ได้ไง ผมเลิกแล้ว ไปๆๆ,    Sentiment: negative,0.9956097602844238
ไม่ว่าง,    Sentiment: neutral,1.160313367843628
จัดปุยแต่ว่าเพื่อนคนอื่นละ,    Sentiment: question,0.5259606838226318
อยากดู เทียน่า2011สีขาวพอจะมีไหมครับ,    Sentiment: question,0.9276773929595947
ห่ากูรอมึงรีวิวอยุ่กูถึงจะซื้อแดกเนียไม่กล้ากลัวไม่อร่อยคืนนี้ต้องจัด,    Sentiment: neutral,0.9851760864257812
นิโคติน มีผลต่อหลอกเลือดหัวใจ และ คาเฟอีน ก็ให้ผลเช่นเดียวกัน,    Sentiment: neutral,0.5855543613433838
ลีโอ..ต้องขอนแข่น.กับสิง.ถึงจะได้รสชาติ..ถ้าเป็นปทุมนี่ผมไม่กินเลยจืดมาก..,    Sentiment: negative,0.8278136253356934
ทางเพจเมย์เบลลีนยังมีกิจกรรมให้ร่วมสนุกเรื่อยๆนะคะ :D,    Sentiment: positive,0.6799526214599609
"ที่สุดของรถสปอร์ตเอนกประสงค์สายพันธุ์แกร่งต้องคันนี้เท่านั้นครับ ""New Mitsubishi Pajero Sport"" 😎😎😎",    Sentiment: positive,1.1346039772033691
ไปกันนน อยากก,    Sentiment: positive,0.7109203338623047
เอ็มเคไง มึงอยากกินไม่ใช่หรอ,    Sentiment: neutral,0.6246309280395508
จัดดิ,    Sentiment: neutral,0.5128750801086426
ฟา โท แป้งเจ้านาง,    Neutral,1.3705241680145264
